COMPOUNDS
ENTRY;GENERATION;KEGG;NAME;STRINGCODE;SPECIES;INCHIKEY;SMILES;ISBIO;FORMULA;CAR
BON;CHARGE;FILENAME;COFACTOR;DATABASE_LINKS;ENERGY;ERROR
reactionsS
ENTRY;KEGG;EQUATION;OPERATORS
396;;c779+c7<=>c780+c4+c5;
397;;c781+c53+c5<=>c782+c52;
398;;c783+c14<=>c784;
399;;c155+c66+c14<=>c513+c64+c5+c5;
400;;c785+c53+c18+c5<=>c734+c786+c52;
401;;c136+c136+c77+c5+c5<=>c138+c138+c787;
402;;c788+c44<=>c789;
403;;c790+c163+c5<=>c791+c161;
404;;c57+c53<=>c792+c52;
405;;c793+c27+c14+c5<=>c794+c25+c11;
406;;c769+c76+c5<=>c83+c19+c116;
407;;c795+c13<=>c224+c10+c5;
408;;c796+c19+c66+c14+c14<=>c797+c64+c11+c11+c5+c5;
409;;c798+c10+c11+c5<=>c799+c13+c14;
410;;c800+c18+c5+c5<=>c801+c14;
411;;c496+c14<=>c100+c118;
412;;c182+c802+c52<=>c803+c139+c44+c5;
413;;c540+c354<=>c804+c61+c5;
414;;c805+c89<=>c806+c11;
415;;c42<=>c807+c44;
416;;c95+c25+c10+c11<=>c808+c27+c13+c14+c5;
417;;c809+c53+c5<=>c810+c52;
418;;c811<=>c812;
419;;c813+c89<=>c814+c14;
420;;c815+c10+c5<=>c816+c13;
421;;c817+c177<=>c437+c179;
422;;c461+c100<=>c460+c48;
423;;c818+c25+c11<=>c819+c27+c14+c5;
424;;c820+c118<=>c821+c14+c5;
425;;c822<=>c372+c11;
426;;c823+c48<=>c824+c100;
427;;c294+c18<=>c293+c14;
428;;c136+c825+c5+c5<=>c724+c138+c14;
429;;c339+c339+c4<=>c826+c340+c14;
430;;c363+c827+c5<=>c828+c14;
431;;c829+c10+c11+c5+c5<=>c830+c19+c13+c14;
432;;c831+c831<=>c832+c791;
433;;c833+c5<=>c713+c19;
434;;c834+c19+c64<=>c835+c66;
435;;c180+c64+c5<=>c836+c66;
436;;c169+c70<=>c837+c68+c5;
437;;c838+c839<=>c840+c841;
438;;c461+c68+c5<=>c842+c70;
439;;c843+c5<=>c844+c14;
440;;c845+c68+c5<=>c846+c70;
441;;c847+c64+c5<=>c848+c66;
442;;c849+c116+c5<=>c833+c114;
443;;c850+c851<=>c852+c4+c5;
444;;c853+c13<=>c854+c855+c416;
445;;c169+c70+c70<=>c856+c68+c68+c5+c5;
446;;c282+c14<=>c283+c18;
447;;c857+c14<=>c858+c198+c5;
448;;c859+c521+c5<=>c860+c70;
449;;c861+c177+c14<=>c862+c179;
450;;c125+c165+c5<=>c614+c518;
451;;c293+c53+c5<=>c294+c52;
452;;c863+c10+c5<=>c864+c13;
453;;c865+c139+c5<=>c374;
454;;c404+c64+c5<=>c403+c66;
455;;c866+c14<=>c737+c312;
456;;c867+c25+c11<=>c868+c27+c14+c5;
457;;c328<=>c869;
458;;c870<=>c871+c14;
459;;c593+c13<=>c77+c10+c5;
460;;c872+c380+c380+c11+c5+c5<=>c873+c379+c379+c14;
461;;c874+c27+c14+c5<=>c875+c25+c11;
462;;c169+c876+c52<=>c877+c139+c44+c5;
463;;c132+c70+c70+c70<=>c131+c68+c68+c68+c5+c5+c5;
464;;c878+c4+c5<=>c879+c7;
465;;c880+c14<=>c881+c100;
466;;c882+c68+c5<=>c191+c70;
467;;c883+c14+c5<=>c884+c817+c19;
468;;c607+c10+c11+c5<=>c608+c13+c14;
469;;c885+c13<=>c886+c118+c10+c5+c5;
470;;c887+c14<=>c888;
471;;c889+c25+c11<=>c890+c27+c14+c14+c5;
472;;c891+c27+c74+c14<=>c892+c25+c11;
473;;c893+c139+c44+c5<=>c363+c894+c52;
474;;c895+c189<=>c896+c4+c5;
475;;c897+c66<=>c898+c64+c5;
476;;c899+c14<=>c499+c61+c5;
477;;c900+c14+c14<=>c459+c5;
478;;c16+c901+c901+c901+c901+c901+c901+c901+c901+c901+c901+c901+c901+c901+c901+c901+c901+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5<=>c15+c902+c902+c902+c902+c902+c902+c902+c902+c902+c902+c902+c902+c902+c902+c902+c902;
479;;c903+c10+c5<=>c904+c13;
480;;c905+c19<=>c906+c5;
481;;c907+c11+c14<=>c908+c89+c5;
482;;c519+c165+c5<=>c517+c518;
483;;c59+c52<=>c58+c53+c5;
484;;c909<=>c910+c14;
485;;c911+c44<=>c912+c913;
486;;c914+c68<=>c915+c70;
487;;c916+c27+c14+c5<=>c917+c25+c11;
488;;c918+c179+c11<=>c919+c177+c14;
489;;c920+c48<=>c921+c100;
490;;c59+c18<=>c58+c14;
491;;c922+c64+c11+c5<=>c923+c66+c14;
492;;c924+c924+c66<=>c925+c64+c5;
493;;c926+c14<=>c927+c116+c5;
494;;c928+c44<=>c929+c73;
495;;c930+c77+c118<=>c931+c14;
496;;c932+c18<=>c933+c14;
497;;c934+c27+c27+c14+c14+c5+c5<=>c935+c25+c25+c11+c11;
498;;c936+c25+c11<=>c937+c27+c14+c5;
499;;c938+c70<=>c939+c68+c5;
500;;c740<=>c940+c14;
