reaction_id,true_ec,true_class,BEC-Pred_correct,CLAIRE_correct,SelenzymeRF_correct,SIMMER_correct,Theia_correct,BridgIT_correct,E-zyme1_correct,E-zyme2_correct,MajorityVote_correct,MajorityVoteCore4_correct,n_methods_correct
R07293,3.1.1.79,3,True,True,True,True,True,False,True,True,True,True,9
R06485,2.4.1.-,2,True,True,True,False,True,True,True,True,True,True,9
R01942,2.1.1.104,2,True,True,True,True,True,True,True,False,True,True,9
R06486,2.4.1.-,2,True,False,True,True,True,True,True,True,True,True,9
R00984,2.1.1.111,2,True,True,True,True,True,True,True,False,True,True,9
R06826,2.4.1.236,2,True,True,True,True,False,True,True,True,True,True,9
R03062,3.1.1.41,3,False,True,True,True,True,True,True,True,True,True,9
R06719,2.1.1.-,2,True,True,True,True,True,True,True,False,True,True,9
R11541,3.1.1.102,3,True,True,True,True,True,True,True,False,True,True,9
R10249,1.1.1.318,1,True,True,True,True,True,True,True,False,True,True,9
R03253,1.13.11.10,1,True,True,True,True,True,True,True,False,True,True,9
R01946,2.3.1.126,2,True,True,True,True,True,True,True,False,True,True,9
R10837,2.4.2.57,2,True,False,True,True,True,True,True,True,True,True,9
R05768,2.4.1.217,2,True,True,True,False,True,True,True,True,True,True,9
R01069,4.1.2.40,4,True,False,True,True,True,True,True,True,True,True,9
R04296,2.4.1.85,2,True,False,True,True,True,True,True,True,True,True,9
R04100,5.3.3.8,5,True,True,True,True,True,False,True,True,True,True,9
R07240,2.1.1.146|2.1.1.279,2,True,True,True,True,True,True,True,False,True,True,9
R07415,1.4.3.-,1,True,True,True,True,True,True,False,True,True,True,9
R05554,3.5.3.26,3,True,True,True,True,True,False,True,True,True,True,9
R09871,2.1.1.240,2,True,True,True,True,True,True,True,False,True,True,9
R11584,2.3.1.156,2,True,True,True,True,True,True,True,False,True,True,9
R09134,1.13.11.1,1,True,True,True,False,True,True,True,True,True,True,9
R04259,5.5.1.7,5,True,True,True,True,True,False,True,True,True,True,9
R11202,3.1.1.98,3,False,True,True,True,True,True,True,True,True,True,9
R02426,4.2.1.45,4,True,True,True,True,True,False,True,True,True,True,9
R09214,1.13.11.-,1,True,True,True,False,True,True,True,True,True,True,9
R10819,5.1.3.32,5,True,True,True,True,True,False,True,True,True,True,9
R13266,2.3.1.293,2,True,True,True,False,True,True,True,True,True,True,9
R11193,2.1.1.317,2,True,True,True,True,True,True,True,False,True,True,9
R03772,3.1.1.65,3,True,True,True,True,True,False,True,True,True,True,9
R04334,2.4.1.156,2,True,True,True,True,False,True,True,True,True,True,9
R03835,2.1.1.117,2,True,True,True,True,True,True,True,False,True,True,9
R09954,1.1.1.371|1.1.1.-,1,True,True,True,True,True,True,True,False,True,True,9
R01425,3.5.1.40,3,True,True,False,True,True,True,True,True,True,True,9
R03688,4.2.1.68,4,True,True,True,True,True,False,True,True,True,True,9
R00913,3.5.3.17,3,True,True,True,True,True,True,True,False,True,True,9
R09824,2.6.1.90,2,True,True,True,True,True,False,True,True,True,True,9
R01663,3.5.4.12,3,True,True,True,True,True,False,True,True,True,True,9
R02037,2.1.1.103,2,True,True,True,True,True,True,True,False,True,True,9
R09870,2.1.1.240,2,True,True,True,True,True,True,True,False,True,True,9
R01169,2.1.1.44,2,True,True,True,True,True,True,True,False,True,True,9
R11533,2.1.1.327,2,True,True,True,True,True,True,True,False,True,True,9
R07656,2.3.1.-,2,True,True,True,False,True,True,True,True,True,True,9
R10307,2.1.1.110,2,True,True,True,True,True,True,True,False,True,True,9
R12995,2.4.1.366,2,True,False,True,True,True,True,True,True,True,True,9
R10298,2.4.1.299,2,True,True,True,True,True,False,True,True,True,True,9
R03671,4.2.1.67,4,True,True,True,True,True,False,True,True,True,True,9
R10588,2.1.1.293,2,True,True,True,True,True,True,True,False,True,True,9
R01945,2.3.1.99|2.3.1.133,2,True,True,True,True,True,True,True,False,True,True,9
R03058,1.13.11.34,1,True,True,True,True,True,False,True,True,True,True,9
R01626,2.3.1.39|2.3.1.85|2.3.1.86|2.3.1.-,2,True,True,True,True,True,True,True,False,True,True,9
R08676,2.4.1.13,2,True,False,True,True,True,True,True,True,True,True,9
R12193,2.3.1.-,2,True,True,True,True,True,False,True,True,True,True,9
R11521,2.1.1.335,2,True,True,True,True,True,True,True,False,True,True,9
R09771,3.1.3.83,3,True,True,True,True,True,True,False,True,True,True,9
R04812,1.1.1.-,1,True,True,True,True,True,False,True,True,True,True,9
R07395,3.1.3.77,3,True,False,True,True,True,True,True,True,True,True,9
R12665,5.3.1.36,5,True,True,True,True,True,False,True,True,True,True,9
R08222,2.4.2.4,2,True,False,True,True,True,True,True,True,True,True,9
R06392,3.1.1.83,3,True,True,True,True,True,False,True,True,True,True,9
R07880,2.3.1.153,2,True,True,True,True,True,True,True,False,True,True,9
R10392,4.2.1.114,4,True,True,True,True,True,False,True,True,True,True,9
R02770,5.1.3.9,5,True,True,True,True,True,False,True,True,True,True,9
R07060,1.1.1.271,1,True,True,True,True,True,True,True,False,True,True,9
R01207,5.1.3.8,5,True,True,True,True,True,False,True,True,True,True,9
R12248,3.1.1.104,3,True,True,True,True,True,False,True,True,True,True,9
